,Date,Negative,Neutral,News Outlet,Positive,Text,Tweet Polarity,Tweets Ago
28,Wed Aug 01 22:36:52 +0000 2018,1.0,0.0,BBC,0.0,#EcosalOído. Periodistas esperan entrevista con Santos https://t.co/v5k3NVuNwd @JuanManSantos @RedSenadoresCol… https://t.co/AntNFHEWEE,0.0,29
29,Wed Aug 01 22:36:49 +0000 2018,1.0,0.0,BBC,0.0,"RT @judithnwana: It's Day561 &amp; counting in jail 4 #SouthernCameroons advocates agst #Cameroon marginalization, some awtg trial, others sent…",0.0,30
30,Wed Aug 01 22:36:36 +0000 2018,0.876,0.0,BBC,0.124,"RT @BBC: ❤️ The reaction when this little girl showed her school friends her new sports blade gives us all the feels. 
#InternationalFriend…",0.4767,31
31,Wed Aug 01 22:36:34 +0000 2018,1.0,0.0,BBC,0.0,@alicoops @BikerRobert @CFCPinky @GreenRupertRead @jammydevil @ProfMarkMaslin @BBC @SkyNews It might be interesting… https://t.co/pCkNX45vJ7,0.0,32
32,Wed Aug 01 22:36:27 +0000 2018,0.876,0.0,BBC,0.124,"RT @BBC: ❤️ The reaction when this little girl showed her school friends her new sports blade gives us all the feels. 
#InternationalFriend…",0.4767,33
33,Wed Aug 01 22:36:21 +0000 2018,0.861,0.0,BBC,0.139,RT @RogueCoder250: Good interview from @BBCGaryR with Stuart Campbell from @WingsScotland talking about @BBC taking down his @YouTube chann…,0.4404,34
34,Wed Aug 01 22:35:52 +0000 2018,0.776,0.106,BBC,0.118,RT @CinemaSinsSins: Thanks @BBC for blocking a video on copyright grounds where I use footage from your trailer to discuss your trailer. No…,0.0772,35
35,Wed Aug 01 22:35:40 +0000 2018,0.75,0.186,BBC,0.064,"RT @DrDebraSoh: Look at how bored these poor children are, playing with toys of the opposite sex.

And what about studies showing that fema…",-0.5267,36
36,Wed Aug 01 22:35:38 +0000 2018,1.0,0.0,BBC,0.0,RT @iSostenibilidad: #visualizacion de datos sobre #mapas..#migraciones #cambioclimatico #incendiosforestales #iiff via @bbc El proyecto de…,0.0,37
37,Wed Aug 01 22:35:33 +0000 2018,0.617,0.383,BBC,0.0,"RT @yorkspride: #Newsnight
 👇
'We no longer own the national conversation'

Damn right. We will no longer be silent as rape squads sweep Br…",-0.8957,38
38,Wed Aug 01 22:35:09 +0000 2018,0.919,0.0,BBC,0.081,"RT @Zarkwan: So, YouTube channels pulled at insistence of @BBC from Indy supporting bloggers, but not from Unionist ones. Is there any othe…",0.2382,39
39,Wed Aug 01 22:34:48 +0000 2018,1.0,0.0,BBC,0.0,@D_Raval Somethings just never change at the @BBC,0.0,40
40,Wed Aug 01 22:34:37 +0000 2018,0.919,0.0,BBC,0.081,"RT @Zarkwan: So, YouTube channels pulled at insistence of @BBC from Indy supporting bloggers, but not from Unionist ones. Is there any othe…",0.2382,41
41,Wed Aug 01 22:34:27 +0000 2018,1.0,0.0,BBC,0.0,@___wait4it___ @alicoops @CFCPinky @GreenRupertRead @jammydevil @ProfMarkMaslin @BBC @SkyNews That isn't what I sai… https://t.co/aX0fYZBA3b,0.0,42
