,News Outlet,Tweet Polarity,Negative,Neutral,Positive,Tweets Ago
0,BBC,-0.07635333333333333,0.8773428571428572,0.07918095238095238,0.043466666666666674,53.0
1,CBS,-0.015548571428571417,0.8662761904761902,0.06846666666666665,0.06524761904761904,53.0
2,CNN,0.029052525252525243,0.8320707070707074,0.0812929292929293,0.08664646464646465,50.0
3,FoxNews,0.026611538461538464,0.8037884615384617,0.09964423076923076,0.09659615384615387,52.5
4,nytimes,0.09291428571428571,0.8890476190476191,0.03923809523809524,0.07169523809523809,53.0
